id_caso,bloco,cenario,status,V_esperado,m_esperado,classe_argila,classe_ctc,F1,F2,F3,F4,F5,F6,F7,classe_esperada,fator_determinante_esperado,fonte_gabarito,data_gabarito,autor_gabarito,observacoes
ANX-G1-ALHO,anexo1_manual,ATUAL,CONFERIDO,65.26,2.11,1,MEDIA,MODERADO,MUITO_FORTE,FORTE,NULO,LIGEIRO,LIGEIRO,NULO,INAPTA_SEM_CORRECAO,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 1, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G1-EUCA,anexo1_manual,ATUAL,CONFERIDO,65.26,2.11,1,MEDIA,NULO,FORTE,NULO,NULO,LIGEIRO,LIGEIRO,NULO,RESTRITA,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 1, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G1-MILH,anexo1_manual,ATUAL,CONFERIDO,65.26,2.11,1,MEDIA,MODERADO,MUITO_FORTE,MODERADO,NULO,LIGEIRO,LIGEIRO,NULO,INAPTA_SEM_CORRECAO,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 1, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G2-ALHO,anexo1_manual,ATUAL,CONFERIDO,42.68,21.61,2,MEDIA,MODERADO,MUITO_FORTE,FORTE,LIGEIRO,LIGEIRO,LIGEIRO,NULO,INAPTA_SEM_CORRECAO,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 2, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G2-EUCA,anexo1_manual,ATUAL,CONFERIDO,42.68,21.61,2,MEDIA,NULO,NULO,MODERADO,LIGEIRO,LIGEIRO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 2, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G2-MILH,anexo1_manual,ATUAL,CONFERIDO,42.68,21.61,2,MEDIA,MODERADO,FORTE,FORTE,LIGEIRO,LIGEIRO,LIGEIRO,NULO,RESTRITA,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 2, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G3-ALHO,anexo1_manual,ATUAL,CONFERIDO,67.32,0,4,BAIXA,LIGEIRO,MUITO_FORTE,MUITO_FORTE,LIGEIRO,MODERADO,MODERADO,MODERADO,INAPTA_SEM_CORRECAO,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 3, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G3-EUCA,anexo1_manual,ATUAL,CONFERIDO,67.32,0,4,BAIXA,NULO,MODERADO,FORTE,LIGEIRO,MODERADO,MODERADO,MODERADO,RESTRITA,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 3, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G3-MILH,anexo1_manual,ATUAL,CONFERIDO,67.32,0,4,BAIXA,LIGEIRO,FORTE,FORTE,LIGEIRO,MODERADO,MODERADO,MODERADO,RESTRITA,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 3, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G4-ALHO,anexo1_manual,ATUAL,CONFERIDO,30.81,21.94,3,MEDIA,MODERADO,FORTE,MUITO_FORTE,LIGEIRO,LIGEIRO,MODERADO,LIGEIRO,INAPTA_SEM_CORRECAO,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 4, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
